order,age_group,sex,sum_survived,sum_passengers,survival_rate
1,"""1-10""",female,19,31,61.2903226
1,"""1-10""",male,19,33,57.5757576
2,"""11-20""",female,34,46,73.9130435
2,"""11-20""",male,10,69,14.4927536
3,"""21-30""",female,61,81,75.308642
3,"""21-30""",male,23,149,15.4362416
4,"""31-40""",female,46,55,83.6363636
4,"""31-40""",male,23,100,23
5,"""41-50""",female,21,31,67.7419355
5,"""41-50""",male,12,55,21.8181818
6,"""51-60""",female,13,14,92.8571429
6,"""51-60""",male,4,28,14.2857143
7,"""61-70""",female,3,3,100
7,"""61-70""",male,1,14,7.1428571
8,"""71+""",female,0,0,0
8,"""71+""",male,1,5,20
9,No Data,female,36,53,67.9245283
9,No Data,male,16,124,12.9032258
